isbn13,isbn10,title,subtitle,authors,thumbnail,description,published_year,average_rating,num_pages,ratings_count,genre_list
9780465003129,0465003125,the sword and the shield,the mitrokhin archive and the secret history of the kgb,"['christopher andrew', 'vasili mitrokhin']",http://books.google.com/books/content?id=9TWUAQ7Xof8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A fascinating description of a treasure trove of secret documents found by the FBI offers facts about every country in the world, as well as information that contributes to the history of the last century. Reprint. 60,000 first printing.",1999.0,3.93,736.0,1085.0,['history']
9780465007806,0465007805,the clock of the long now,time and responsibility,['stewart brand'],http://books.google.com/books/content?id=9Q18tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Using the designing and building of the Clock of the Long Now as a framework, this is a book about the practical use of long time perspective: how to get it, how to use it, how to keep it in and out of sight. Here are the central questions it inspires: How do we make long-term thinking automatic and common instead of difficult and rare? Discipline in thought allows freedom. One needs the space and reliability to predict continuity to have the confidence not to be afraid of revolutions Taking the time to think of the future is more essential now than ever, as culture accelerates beyond its ability to be measured Probable things are vastly outnumbered by countless near-impossible eventualities. Reality is statistically forced to be extraordinary; fiction is not allowed this freedom This is a potent book that combines the chronicling of fantastic technology with equally visionary philosophical inquiry.",2000.0,4.11,208.0,508.0,['philosophy']
9780465008025,046500802X,the evolution of desire,strategies of human mating,['david m. buss'],http://books.google.com/books/content?id=Ns9rNl3am34C&printsec=frontcover&img=1&zoom=1&source=gbs_api,David Buss updates his classic study of the origin of human mating behavior with fascinating new research.,2003.0,4.07,354.0,1320.0,"['health', 'fitness']"
9780465014873,0465014879,crime and punishment in american history,,['lawrence friedman'],http://books.google.com/books/content?id=ynzODQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A history of the criminal justice system from colonial times to the present argues that the evolution of the criminal justice system has reflected transformations in American culture, economics, politics, and social structure",1994.0,3.89,590.0,108.0,['law']
9780465014903,0465014909,the culture of fear,why americans are afraid of the wrong things,['barry glassner'],http://books.google.com/books/content?id=E6n9rZokBXQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"There has never been another era in modern history, even during wartime or the Great Depression, when so many people have feared so much. Three out of four Americans say they feel more fearful today then they did twenty years ago. The Culture of Fear describes the high costs of living in a fear-ridden environment where realism has become rarer than doors without deadbolts.Why do we have so many fears these days? Are we living in exceptionally dangerous times? To watch the news, you'd certainly think so, but Glassner demonstrates that it is our perception of danger that has increased, not the actual level of risk. The Culture of Fear is an expose of the people and organizations that manipulate our perceptions and profit from our fears: politicians who win elections by heightening concerns about crime and drug use even as rates for both are declining; advocacy groups that raise money by exaggerating the prevalence of particular diseases; TV newsmagazines that monger a new scare every week to garner ratings.Glassner spells out the prices we pay for social panics: the huge sums of money that go to waste on unnecessary programs and products as well as time and energy spent worrying about our fears.",2000.0,3.7,210.0,3025.0,['science']
9780465016914,046501691X,drama of the gifted,,['alice miller'],http://books.google.com/books/content?id=bWHZ4krDO1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Examines the cyclical patterns of parental exploitation and the resulting loss of self-esteem in their children.,1990.0,4.09,118.0,94.0,['psychology']
9780465023950,0465023959,the pleasure of finding things out,the best short works of richard p. feynman,['richard phillips feynman'],http://books.google.com/books/content?id=s6LzV_U6PskC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A collection of short works by the noted scientist includes his report on the space shuttle Challenger disaster and his Nobel Prize acceptance speech.,1999.0,4.25,270.0,8014.0,['science']
9780465024964,0465024963,the classical world,an epic history from homer to hadrian,['robin lane fox'],http://books.google.com/books/content?id=Srhcjy8JTaEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Armies and empires, statesmen and tyrants--the acclaimed historian Robin Lane Fox vividly recounts the history of two great civilizations and one thousand years that forged the Western world",2005.0,3.92,672.0,1222.0,['history']
9780465037384,0465037380,knowledge and decisions,,['thomas sowell'],http://books.google.com/books/content?id=oaKSswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With a new preface by the author, this reissue of Thomas Sowell's classic study of decision making updates his seminal work in the context of The Vision of the Annointed, Sowell, one of America's most celebrated public intellectuals, describes in concrete detail how knowledge is shared and disseminated throughout modern society. He warns that society suffers from an ever-widening gap between firsthand knowledge and decision making—a gap that threatens not only our economic and political efficiency, but our very freedom because actual knowledge gets replaced by assumptions based on an abstract and elitist social vision f what ought to be.Knowledge and Decisions, a winner of the 1980 Law and Economics Center Prize, was heralded as a ”landmark work” and selected for this prize ”because of its cogent contribution to our understanding of the differences between the market process and the process of government.” In announcing the award, the center acclaimed Sowell, whose ”contribution to our understanding of the process of regulation alone would make the book important, but in reemphasizing the diversity and efficiency that the market makes possible, [his] work goes deeper and becomes even more significant.”",1996.0,4.38,422.0,720.0,['law']
9780465069347,0465069347,the republic of plato,second edition,['allan bloom'],,"Long regarded as the most accurate rendering of Plato's Republic that has yet been published, this widely acclaimed work is the first strictly literal translation of a timeless classic. This second edition includes a new introduction by Professor Bloom, whose careful translation and interpretation of The Republic was first published in 1968. In addition to the corrected text itself there is also a rich and valuable essay—as well as indexes—which will better enable the reader to approach the heart of Plato's intention.",1991.0,3.93,487.0,1637.0,['philosophy']
9780465069903,0465069908,river out of eden,a darwinian view of life,['richard dawkins'],http://books.google.com/books/content?id=U5z2vQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"How did the replication bomb we call ”life” begin and where in the world, or rather, in the universe, is it heading? Writing with characteristic wit and an ability to clarify complex phenomena (the New York Times described his style as ”the sort of science writing that makes the reader feel like a genius”), Richard Dawkins confronts this ancient mystery.",1996.0,3.97,172.0,5653.0,['science']
9780465070596,0465070590,shattered bonds,the color of child welfare,['dorothy e. roberts'],http://books.google.com/books/content?id=D47-Km6fyNkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Identifies a disproportionate representation of African-American children in the U.S. foster care system, noting racial disparities and political policies that negatively impact black communities, contribute to child poverty rates, and adversely separate families. Reprint. 15,000 first printing.",2002.0,4.2,352.0,145.0,"['political', 'science', 'political science']"
9780465081981,0465081983,stephen hawking's universe,the cosmos explained,['david filkin'],http://books.google.com/books/content?id=Q1XgUZzNFGoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Stephen Hawking's A Brief History of Time has sold over 9 million copies worldwide. Now, in everyday language, Stephen Hawking's Universe reveals step-by-step how we can all share his understanding of the cosmos, and our own place within it. Stargazing has never been the same since cosmologists discovered that galaxies are moving away from each other at an extraordinary speed. It was this understanding of the movement of galaxies that allowed scientists to develop a theory of how the universe was created—the Big Bang theory. Working with this theory, Stephen Hawking and other physicists felt challenged to come up with a scientific picture that would tackle the fundamental question: what is the nature of the universe? Stephen Hawking's Universe charts this work and provides simple explanations for phenomena that arouse our curiosity. This work is a voyage of discovery with an astonishing set of conclusions that will enable us to understand how matter can be produced from nothing at all and will provide us with an explanation for the basis of our existence and that of everything around us.",1998.0,4.28,304.0,1383.0,['science']
9780465092758,0465092756,not even wrong,the failure of string theory and the search for unity in physical law,['peter woit'],http://books.google.com/books/content?id=pcJA3i0xKAUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Has physics gone off in the wrong direction? Peter Woit presents the other side of the growing debate on string theory--arguing that it's not even science,2006.0,3.93,291.0,1447.0,['science']
9780470008294,0470008296,jane austen for dummies,,['joan elizabeth klingel ray'],http://books.google.com/books/content?id=m8WTNQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Explains Austen's methods, motivations, and morals The fun and easy way(r) to understand and enjoy Jane Austen Want to know more about Jane Austen? This friendly guide gives the scoop on her life, works, and lasting impact on our culture. It chronicles the events of her brief life, examines each of her novels, and looks at why her stories - of women and marriage, class and money, scandal and hypocrisy, emotion and satire - still have meaning for us today. Discover * Why Austen is so popular * The impact on manners, courtships, and dating * Love and life in Austen's world * Her life and key influences * Her most memorable characters",2006.0,4.02,362.0,517.0,"['biography', 'autobiography']"
